Woodinville,47.2872283,-122.2908139
Auburn,47.5841938,-122.4005256
Seattle,47.661963,-122.435841
Seattle,47.6874564,-122.2950947
Seattle,47.5927936,-122.1872807
Bellevue,47.450728,-122.3791122
Burien,47.6361306,-122.1093464
Redmond,47.5933145,-122.1142387
Bellevue,47.6385018,-121.8928814
Carnation,47.653119,-122.36032
Seattle,47.5612896,-122.3034015
Seattle,47.40234,-122.33128
Des Moines,47.5260834,-122.0377636
Issaquah,47.7231408,-122.2493228
Kirkland,47.7612529,-122.2796774
Lake Forest Park,47.7630992,-122.3717737
Shoreline,47.6545148,-122.1077304
Redmond,47.5293308,-122.3826635
Seattle,47.5790733,-122.4120712
Seattle,47.300706,-122.3361191
Federal Way,47.6756194,-122.1971592
Kirkland,47.647617,-122.3062849
Seattle,47.4488707,-122.1750069
Renton,47.5199251,-122.3683405
Seattle,47.5436706,-122.381494
Seattle,47.7152768,-122.1996403
Kirkland,47.5633948,-122.4039924
Seattle,47.3043783,-122.3310471
Federal Way,47.5077222,-122.2022152
Renton,47.3019337,-122.2995472
Federal Way,47.7566135,-122.3144442
Shoreline,47.393062,-122.2627258
Kent,47.3809204,-122.2352295
Kent,47.7739592,-122.3925439
Shoreline,47.6396729,-122.3294699
Seattle,47.627563,-122.3674285
Seattle,47.566334,-122.4057198
Seattle,47.6801829,-122.3986816
Seattle,47.5931988,-122.3272705
Seattle,47.5026851,-122.3624933
Seattle,47.6813098,-122.3032916
Seattle,47.678108,-122.3092099
Seattle,47.6600475,-122.137177
Redmond,47.7351672,-122.2977448
Shoreline,47.5599632,-122.0569038
Issaquah,47.4629587,-122.1781719
Renton,47.651397,-122.3217773
Seattle,47.6600127,-122.4304269
Seattle,47.7644658,-122.371012
Shoreline,47.5498841,-122.2563744
Seattle,47.7626376,-122.2759438
Lake Forest Park,47.6138649,-122.1254883
Bellevue,47.3955413,-122.1136594
Kent,47.4706032,-122.1893406
Renton,47.6204547,-122.3629761
Seattle,47.468056,-122.179167
Renton,47.67241,-122.2704291
Seattle,47.68412,-122.263344
Seattle,47.6110889,-122.3306608
Seattle,47.6912769,-122.225647
Kirkland,47.6423765,-122.310791
Seattle,47.657381,-122.3070145
Seattle,47.6461642,-122.296586
Seattle,47.3199741,-122.4058914
Federal Way,47.7531639,-122.2748387
Lake Forest Park,47.5541057,-122.1663702
Bellevue,47.3686059,-122.2728258
Kent,47.3833333,-122.4666667
Vashon,47.4490738,-122.1644497
Renton,47.5471033,-122.1609306
Bellevue,47.5371377,-122.1454811
Newcastle,47.5355442,-122.1444511
Newcastle,47.757034,-122.2841908
Lake Forest Park,47.4556032,-122.3622894
Burien,47.6625148,-122.4320416
Seattle,47.6640001,-121.9228363
Carnation,47.6104202,-122.2002335
Bellevue,47.656138,-122.2926807
Seattle,47.6450799,-122.3182583
Seattle,47.6595489,-122.417264
Seattle,47.3664551,-122.2591209
Kent,47.2951524,-122.3416471
Federal Way,47.4970242,-121.9578552
Issaquah,47.53902,-122.15523
Newcastle,47.5316905,-122.1671104
Newcastle,47.3956351,-122.1454895
Kent,47.7573005,-122.2639918
Kenmore,47.6846613,-122.2684765
Seattle,47.2875698,-122.2700751
Auburn,47.6550377,-122.3561619
Seattle,47.5605134,-122.3507452
Seattle,47.3465289,-122.2873807
Auburn,47.3618652,-122.1505022
Kent,47.6713697,-122.1259546
Redmond,47.5843708,-122.1674967
Bellevue,47.3236978,-122.3185158
Federal Way,47.6540566,-122.2929382
Seattle,47.6872889,-122.1754608
Kirkland,47.325779,-122.38838
Federal Way,47.727953,-122.306194
Seattle,47.328746,-121.9984424
Black Diamond,47.6162602,-122.3550367
Seattle,47.701928,-122.3242986
Seattle,47.5603976,-122.1159768
Bellevue,47.6411982,-122.2947353
Seattle,47.410897,-122.2777033
Kent,47.6635376,-122.2805786
Seattle,47.66258,-122.12052
Redmond,47.6829127,-121.9239418
Carnation,47.6288428,-122.2998047
Seattle,47.43622,-122.34024
Normandy Park,47.6641983,-122.4275543
Seattle,47.6382705,-121.9106483
Carnation,47.3214481,-122.3721199
Federal Way,47.3284685,-122.2728109
Auburn,47.6616878,-122.1899414
Kirkland,47.7237906,-122.2136146
Kirkland,47.6476965,-122.2863293
Seattle,47.6802913,-122.3052549
